Player,Pos,Age,Tm,Team Wins,Overall Seed,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TMP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Saddiq Bey,SF,24,ATL,24,21,54,42,32.5,4.6,10.8,0.422,1.8,5.6,0.316,2.8,5.2,0.537,0.504,2.6,3.1,0.829,2.6,3.9,6.6,1.5,0.9,0.1,0.8,1.5,13.5,1757,13.1,0.554,0.52,0.291,8.3,13.6,10.9,5.9,1.3,0.4,6.4,16.4,2.4,0.4,2.9,0.078,0.1,-2,-1.9,0
Bogdan Bogdanović,SG,31,ATL,24,21,53,8,28.9,6,14,0.432,3.1,8.4,0.372,2.9,5.6,0.52,0.543,1.7,1.9,0.91,0.6,2.7,3.3,2.8,1.2,0.3,1.2,2.4,16.9,1534,15.1,0.571,0.598,0.135,2.2,10.3,6.1,13.8,2,0.8,7.4,22.7,2,0.6,2.6,0.08,1.1,-0.8,0.3,0.9
Kobe Bufkin,SG,20,ATL,24,21,5,0,5,0.6,2,0.3,0.4,1.4,0.286,0.2,0.6,0.333,0.4,0.2,0.4,0.5,0.4,0.8,1.2,0.2,0,0,0.2,0.2,1.8,25,5.8,0.414,0.7,0.2,8.3,18,12.9,5.1,0,0,8.4,19.5,0,0,0,-0.063,-4.2,-4.7,-8.9,0
Clint Capela,C,29,ATL,24,21,47,47,25.7,4.8,8.4,0.575,0,0,,4.8,8.4,0.575,0.575,1.8,2.8,0.649,4.8,5.8,10.6,1,0.6,1.5,0.9,2.4,11.5,1209,20.8,0.595,0,0.332,19.3,25.2,22.1,5.3,1.1,5.2,8.1,16.7,3,1.1,4.1,0.162,1.2,-1.3,-0.1,0.6
Bruno Fernando,C,25,ATL,24,21,18,1,8.9,1.5,2.8,0.529,0,0.2,0,1.5,2.7,0.563,0.529,1,1.7,0.6,0.9,2.2,3.1,0.4,0.2,0.6,0.4,1.4,4,161,15.4,0.561,0.059,0.588,10.3,27.9,18.8,5.9,0.9,5.4,11.1,18.4,0.1,0.2,0.3,0.088,-3.1,-0.5,-3.7,-0.1
Trent Forrest,SG,25,ATL,24,21,20,0,10.5,0.8,2.4,0.319,0.1,0.4,0.286,0.7,2,0.325,0.34,0.4,0.5,0.8,0.3,1.1,1.3,2.1,0.4,0.1,0.6,0.9,2,210,6.9,0.389,0.149,0.213,2.5,11.2,6.7,24.1,1.6,0.4,17.6,12.2,-0.1,0.1,0,-0.008,-5,-0.3,-5.3,-0.2
AJ Griffin,SF,20,ATL,24,21,18,0,7.3,0.7,2.5,0.289,0.5,1.8,0.273,0.2,0.7,0.333,0.389,0.1,0.1,1,0.1,0.7,0.8,0.2,0.1,0.1,0.3,0.3,2.1,132,1.8,0.403,0.733,0.044,1.6,10.2,5.7,3.8,0.4,0.7,11.6,16.1,-0.3,0,-0.3,-0.101,-5.5,-3.4,-8.9,-0.2
Mouhamed Gueye,PF,21,ATL,24,21,2,0,2,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0,0,0,0.5,0,0,0.5,0,4,-0.6,0,1,0,0,0,0,0,11.8,0,0,10.2,0,0,0,-0.114,-12.7,3.6,-9.1,0
De'Andre Hunter,SF,26,ATL,24,21,31,24,28.4,5,10.6,0.47,2,4.7,0.421,3,5.9,0.508,0.563,3,3.4,0.894,0.6,3.2,3.8,1.3,0.8,0.4,1.5,2.8,14.9,881,13.1,0.618,0.442,0.317,2.2,12.7,7.3,6.4,1.3,1.1,10.7,19.5,1.1,0.3,1.3,0.071,-0.7,-1.3,-2,0
Jalen Johnson,SF,22,ATL,24,21,41,38,34,6.3,12,0.524,1.2,3.4,0.348,5.1,8.6,0.594,0.573,2,2.7,0.743,1.3,7.3,8.6,3.3,1.2,0.9,1.8,2.7,15.7,1394,15.8,0.598,0.282,0.222,4,24,13.6,13.6,1.7,2.2,11.8,17.9,1.6,1.1,2.7,0.095,0.1,0.6,0.7,1
